country,region,timezone,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10
Lebanon,Asia,Asia/Beirut,-0.262772743,2.094491397,-0.530686572,-0.283319029,-0.083647391,-0.014018933
Lesotho,Africa,Africa/Johannesburg,0.37577592,1.65524703,-0.414448702,-0.178687147,0.94837421,0.642013386
Liberia,Africa,Africa/Monrovia,-0.22785538,0.107141011,-0.546537191,-0.422828206,-0.33302064,-0.409630614
Thailand,Asia,Asia/Bangkok,-0.168579497,-0.353604828,-0.32991207,-0.171711688,-0.227516573,-0.331362116
Liechtenstein,Europe,Europe/Vaduz,-0.288908494,-0.135518464,-0.277076674,-0.373999994,-0.304246804,-0.396823041
Lithuania,Europe,Europe/Vilnius,-0.294135644,1.544668029,-0.493701796,-0.290294488,-0.317674594,-0.401092232
Luxembourg,Europe,Europe/Luxembourg,-0.292462956,0.644677823,-0.108003408,-0.380975453,-0.292737269,-0.379746278
Madagascar,Africa,Indian/Antananarivo,-0.224405461,0.534098822,-0.530686572,-0.373999994,-0.352203198,-0.411053677
Malawi,Africa,Africa/Blantyre,-0.245314062,0.623176351,-0.541253651,-0.394926371,-0.344530175,-0.406784486
Malaysia,Asia,Asia/Kuala_Lumpur,7.194279674,-0.344389911,12.18679312,6.273612278,2.045616507,1.545658771
Maldives,Asia,Indian/Maldives,-0.34306177,-0.046440935,-0.546537191,-0.436779124,-0.377140523,-0.449476394
Mali,Africa,Africa/Bamako,-0.06738187,-0.943359502,-0.467284098,-0.325171782,-0.304246804,-0.364092578
Malta,Europe,Europe/Malta,-0.304694488,1.305080193,-0.541253651,-0.387950912,-0.323429361,-0.278708762
Marshall Islands,Australia,Pacific/Majuro,-0.330830238,-0.387392856,-0.56238781,-0.436779124,-0.367549244,-0.425284313
Mauritania,Africa,Africa/Nouakchott,-0.116203453,-0.058727491,-0.483134716,-0.3391227,-0.081729135,0.199440607
Mauritius,Africa,Indian/Mauritius,-0.269777125,0.79825977,-0.403881623,-0.171711688,-0.254372154,-0.314285352
Mexico,America,America/Mexico_City,-0.029014588,-1.232093561,0.436201165,0.588613326,-0.089402158,-0.126440957
Micronesia,Australia,Pacific/Pohnpei,-0.330830238,-0.937216224,-0.55710427,-0.443754582,-0.377140523,-0.452322522
Russia,Asia,Asia/Krasnoyarsk,-0.339507308,1.65524703,-0.525403033,-0.380975453,-0.298492036,-0.203286392
Monaco,Europe,Europe/Monaco,-0.287235806,0.930340244,-0.403881623,-0.387950912,-0.371385755,-0.445207204
Mongolia,Asia,Asia/Ulaanbaatar,0.075737501,-0.814350667,1.936726397,3.748496179,0.167644114,0.005903957
Montenegro,Europe,Europe/Podgorica,-0.220955542,2.008485507,-0.546537191,-0.248441735,-0.158459365,-0.290093271
Morocco,Africa,Africa/Casablanca,-0.283681344,1.391086083,-0.514835954,-0.332147241,-0.23327134,-0.122171767
Mozambique,Africa,Africa/Maputo,0.012907156,0.819761242,-0.462000558,-0.234490817,-0.221761806,-0.201863328
Myanmar,Asia,Asia/Yangon,-0.266222662,0.380516876,-0.541253651,-0.436779124,-0.310001571,-0.399669168
Namibia,Africa,Africa/Windhoek,-0.147670897,2.051488452,-0.525403033,-0.408877288,0.04295749,-0.009749742
Turkey,Europe,Europe/Istanbul,-0.276781506,2.051488452,-0.530686572,-0.290294488,-0.189151458,-0.291516335
Nepal,Asia,Asia/Kathmandu,-0.008001445,1.501665084,-0.4408664,-0.269368111,0.23286481,0.03863442
Netherlands,Europe,Europe/Amsterdam,-0.262772743,0.558671933,0.526021337,-0.178687147,-0.277391223,-0.359823388
New Zealand,Australia,Pacific/Auckland,-0.287235806,0.71225388,-0.551820731,-0.422828206,-0.377140523,-0.439514949
Nicaragua,America,America/Managua,-0.262772743,-0.875783445,-0.456717019,0.26076676,0.048712257,-0.115056449
Niger,Africa,Africa/Niamey,0.012907156,-0.442682357,-0.525403033,-0.394926371,-0.290819013,-0.348438879
Nigeria,Africa,Africa/Lagos,0.110550321,-0.464183829,-0.514835954,-0.436779124,-0.217925294,-0.297208589
North Korea,Asia,Asia/Pyongyang,-0.029014588,-0.792849194,1.698967117,5.011054228,-0.05679181,-0.191901883
Macedonia,Europe,Europe/Skopje,-0.255768362,1.962410923,-0.451433479,1.055969068,0.096668651,-0.043903269
Norway,Europe,Europe/Oslo,-0.304694488,-0.421180884,0.298829137,0.463055066,-0.285064246,-0.371207896
Oman,Asia,Asia/Muscat,-0.322153169,1.259005609,-0.535970112,-0.380975453,0.3460419,1.676580623
Pakistan,Asia,Asia/Karachi,0.996970445,7.279417905,1.123061306,-0.018251593,1.309006294,0.882511134
Palau,Australia,Pacific/Palau,-0.318598707,-0.408894329,-0.55710427,-0.436779124,-0.350284942,-0.385438532
Bolivia,America,America/La_Paz,0.159476446,-0.3751063,-0.520119493,-0.429803665,0.597333405,0.270593787
Panama,America,America/Panama,0.047824519,-1.232093561,-0.071018632,0.14218396,-0.273554711,-0.349861942
Papua New Guinea,Australia,Pacific/Port_Moresby,-0.301140026,0.294510986,-0.430299321,-0.290294488,-0.273554711,-0.224632346
Paraguay,America,America/Asuncion,-0.196492479,-0.860425251,-0.535970112,-0.436779124,-0.286982502,-0.384015469
Peru,America,America/Lima,-0.220955542,-0.058727491,0.182591267,0.62349062,-0.133522041,-0.025403442
Philippines,Asia,Asia/Manila,-0.220955542,-0.024939463,-0.277076674,-0.346098159,-0.363712732,-0.403938359
Poland,Europe,Europe/Warsaw,-0.297690106,0.776758297,-0.467284098,-0.367024535,-0.350284942,-0.42813044
Portugal,Europe,Europe/Lisbon,-0.276781506,0.71225388,-0.462000558,-0.380975453,-0.298492036,-0.335631306
Qatar,Asia,Asia/Qatar,-0.063827408,3.280144023,6.100155562,11.40057452,0.497584106,0.976433332
Romania,Europe,Europe/Bucharest,-0.280231425,1.962410923,-0.477851177,-0.346098159,-0.275472967,-0.366938706
Russia,Europe,Europe/Moscow,-0.210396699,-0.451897274,1.286851032,1.188502785,-0.300410292,-0.37263096
Rwanda,Africa,Africa/Kigali,-0.290685725,0.42659146,-0.546537191,-0.401901829,-0.338775407,-0.405361423
Saint Kitts and Nevis,America,America/St_Kitts,-0.252318443,-0.789777555,-0.525403033,-0.422828206,-0.363712732,-0.416745932
Saint Lucia,America,America/St_Lucia,-0.309921638,-0.608550859,-0.55710427,-0.436779124,-0.342611919,-0.376900151
Saint Vincent and the Grenadines,America,America/St_Vincent,-0.315148788,-0.608550859,-0.535970112,-0.415852747,-0.352203198,-0.384015469
Samoa,Australia,Pacific/Apia,-0.315148788,0.666179296,-0.546537191,-0.422828206,-0.323429361,-0.233170727
San Marino,Europe,Europe/Rome,-0.283681344,0.776758297,-0.520119493,-0.401901829,-0.363712732,-0.44378414
Belgium,Europe,Europe/Brussels,-0.276781506,0.183931984,0.37808223,-0.108932558,-0.281227734,-0.349861942
Saudi Arabia,Asia,Asia/Riyadh,-0.245314062,3.676385444,1.070225911,5.080808817,0.745039099,2.548918609
Senegal,Africa,Africa/Dakar,-0.196492479,-0.212309437,-0.525403033,-0.401901829,-0.216007038,-0.318554543
Serbia,Europe,Europe/Belgrade,-0.255768362,1.56924114,-0.398598084,-0.136834394,-0.116257739,-0.243132172
Seychelles Islands,Africa,Indian/Mahe,-0.311594326,-0.067942408,-0.551820731,-0.401901829,-0.308083315,-0.341323561
Sierra Leone,Africa,Africa/Freetown,-0.151120816,-0.660768721,-0.530686572,-0.429803665,-0.356039709,-0.418168995
Singapore,Asia,Asia/Singapore,0.21530241,0.128642484,1.630281103,1.669809445,0.065976559,-0.089441304
Slovakia,Europe,Europe/Bratislava,-0.255768362,0.687680768,-0.314061451,-0.234490817,-0.154622854,-0.28155489
